model,mode,video_id,title,topic,subtopic,query_source,pool_scope,candidate_pool_size,top5,top5_with_scores,gold_keywords,vlm_order,ndcg_at_5,weighted_precision_at_5
bert,current,QqAPCIIdx-E,Derivative using Chain and Product Rules,Differentiation,Derivative Rules,title+summary,full_pool,116,"Chain rule, Product rule, Power rule, Trigonometric rules, Trigonometric functions",1. Chain rule (1.000); 2. Product rule (0.960); 3. Power rule (0.924); 4. Trigonometric rules (0.790); 5. Trigonometric functions (0.730),"Chain rule, Derivative definition, Power rule, Product rule, Differentiability, Instantaneous rate of change, Leibniz notation, Slope, Sum/Difference rule","Chain rule, Product rule, Power rule, Trigonometric rules, Trigonometric functions",0.7558,0.6
bert,current,QhB481jPAa4,Differentiation of y = cos(ax),Differentiation,Derivative Rules,title+summary,full_pool,116,"Chain rule, Trigonometric rules, Product rule, Trigonometric functions, Power rule",1. Chain rule (1.000); 2. Trigonometric rules (0.980); 3. Product rule (0.953); 4. Trigonometric functions (0.896); 5. Power rule (0.852),"Chain rule, Product rule, Trigonometric functions, Trigonometric rules, Constant rule, Leibniz notation, Power rule","Chain rule, Trigonometric rules, Product rule, Trigonometric functions, Power rule",1.0,0.9333
bert,current,JTDa2uZS2gI,Calculating Partial Derivatives,Differentiation,Partial Derivatives,title+summary,full_pool,116,"Chain rule, Constant rule, Derivative definition, Trigonometric rules, Power rule",1. Chain rule (1.000); 2. Constant rule (0.967); 3. Derivative definition (0.960); 4. Trigonometric rules (0.844); 5. Power rule (0.832),"Constant rule, Derivative definition, Power rule, Product rule, Quotient rule, Sum/Difference rule, Chain rule, Differentiability, Higher-order derivatives, Instantaneous rate of change, Leibniz notation, Slope","Chain rule, Constant rule, Derivative definition, Trigonometric rules, Power rule",0.7409,0.7333
bert,current,TDHI-aieyfk,Derivatives of Common Functions,Differentiation,Derivatives,title+summary,full_pool,116,"Trigonometric rules, Exponential rule, Logarithmic rule, Tangent line, Slope",1. Trigonometric rules (0.971); 2. Exponential rule (0.930); 3. Logarithmic rule (0.895); 4. Tangent line (0.794); 5. Slope (0.749),"Exponential rule, Logarithmic rule, Trigonometric functions, Trigonometric rules, Differentiability, Instantaneous rate of change, Leibniz notation, Slope, Tangent line","Trigonometric rules, Exponential rule, Logarithmic rule, Tangent line, Slope",0.9491,0.8667
bert,current,uKfcS7-O6UE,Quotient Rule for Differentiation,Differentiation,Derivatives,title+summary,full_pool,116,"Quotient rule, Constant rule, Power rule, Sum/Difference rule, Leibniz notation",1. Quotient rule (1.000); 2. Constant rule (0.846); 3. Power rule (0.831); 4. Sum/Difference rule (0.825); 5. Leibniz notation (0.724),"Derivative definition, Differentiability, Quotient rule, Chain rule, Instantaneous rate of change, Power rule, Product rule, Slope, Sum/Difference rule","Quotient rule, Constant rule, Power rule, Sum/Difference rule, Leibniz notation",0.6538,0.5333
bert,scene_only,KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,title_only,full_pool,116,"Powers of complex numbers, Powers of i, Imaginary part, Operations with complex numbers, Nth root",1. Powers of complex numbers (0.991); 2. Powers of i (0.991); 3. Imaginary part (0.900); 4. Operations with complex numbers (0.860); 5. Nth root (0.695),"Powers of i, Roots of unity, Complex plane, Complex plane rotation, Imaginary part, Modulus of a complex number, Operations with complex numbers, Powers of complex numbers, Real part, Rectangular form (Standard form)","Powers of i, Powers of complex numbers, Imaginary part, Operations with complex numbers, Nth root",0.7644,0.6
bert,scene_only,BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,title_only,full_pool,116,"Conjugate number, Imaginary part, Operations with complex numbers, Real part, Argand diagram",1. Conjugate number (0.983); 2. Imaginary part (0.946); 3. Operations with complex numbers (0.944); 4. Real part (0.739); 5. Argand diagram (0.639),"Conjugate number, Imaginary part, Operations with complex numbers, Real part, Rectangular form (Standard form), Algebraic form, Argand diagram, Complex plane, Equations involving complex numbers","Operations with complex numbers, Imaginary part, Conjugate number, Real part, Argand diagram",0.9563,0.9333
bert,scene_only,kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,title_only,full_pool,116,"Operations with complex numbers, Complex plane, Imaginary part, Powers of i, Real part",1. Operations with complex numbers (0.977); 2. Complex plane (0.942); 3. Imaginary part (0.902); 4. Powers of i (0.789); 5. Real part (0.606),"Algebraic form, Argand diagram, Complex plane, Imaginary part, Real part, Rectangular form (Standard form), Conjugate number, Modulus of a complex number, Nth root, Powers of i","Imaginary part, Operations with complex numbers, Complex plane, Powers of i, Real part",0.7252,0.8
bert,scene_only,KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,title_only,full_pool,116,"Regions in the complex plane, Complex plane, Imaginary part, Rectangular form (Standard form), Real part",1. Regions in the complex plane (1.000); 2. Complex plane (0.870); 3. Imaginary part (0.769); 4. Rectangular form (Standard form) (0.619); 5. Real part (0.610),"Argand diagram, Complex plane, Imaginary part, Real part, Regions in the complex plane, Algebraic form, Equations involving complex numbers, Modulus of a complex number, Rectangular form (Standard form)","Regions in the complex plane, Complex plane, Imaginary part, Real part, Rectangular form (Standard form)",0.9513,0.9333
bert,scene_only,AqtgBbEI4wM,Sketching the Locus of Complex Numbers,Complex Numbers,Complex Plane and Loci,title_only,full_pool,116,"Equations involving complex numbers, Modulus of a complex number, Regions in the complex plane, Argand diagram, Algebraic form",1. Equations involving complex numbers (0.941); 2. Modulus of a complex number (0.915); 3. Regions in the complex plane (0.907); 4. Argand diagram (0.801); 5. Algebraic form (0.750),"Argand diagram, Complex plane, Equations involving complex numbers, Modulus of a complex number, Regions in the complex plane, Algebraic form, Imaginary part, Operations with complex numbers, Real part, Rectangular form (Standard form)","Equations involving complex numbers, Regions in the complex plane, Modulus of a complex number, Argand diagram, Algebraic form",0.9563,0.9333
bert,scene_only,G8GAsYkZlpE,Second Derivative Test for Relative Extrema,Differentiation,Extrema and Concavity,title_only,full_pool,116,"Second derivative test, Local maximum, Local minimum, Critical point, Concavity",1. Second derivative test (1.000); 2. Local maximum (0.824); 3. Local minimum (0.803); 4. Critical point (0.773); 5. Concavity (0.693),"Critical point, Local maximum, Local minimum, Second derivative test, Concavity, First derivative test, Higher-order derivatives, Optimization, Stationary point, Unconstrained optimization","Second derivative test, Local maximum, Local minimum, Critical point, Concavity",1.0,0.9333
bert,scene_only,8mjcnxGMwFo,Lagrange Multipliers,Optimization,Constrained Optimization,title_only,full_pool,116,"Lagrange multipliers, Constrained optimization, Optimization, Minimum, Maximum",1. Lagrange multipliers (1.000); 2. Constrained optimization (0.838); 3. Optimization (0.777); 4. Minimum (0.690); 5. Maximum (0.654),"Constrained optimization, Lagrange multipliers, Optimization, Critical point, Feasible set, Maximum, Minimum, Optimal solution, Stationary point","Lagrange multipliers, Constrained optimization, Optimization, Minimum, Maximum",1.0,0.8667
bert,scene_only,LVLuqNH5iWw,Local Extrema of a Multivariable Function,Differentiation,Extrema and Concavity,title_only,full_pool,116,"Local maximum, Local minimum, Critical point, Second derivative test, Saddle point",1. Local maximum (0.963); 2. Local minimum (0.936); 3. Critical point (0.790); 4. Second derivative test (0.758); 5. Saddle point (0.747),"Critical point, Hessian matrix, Local maximum, Local minimum, Saddle point, Second derivative test, Unconstrained optimization, Maximum, Minimum, Optimization, Stationary point","Local maximum, Local minimum, Second derivative test, Critical point, Saddle point",1.0,1.0
bert,scene_only,vwUV2IDLP8Q,Constrained Optimization,Optimization,Constrained Optimization,title_only,full_pool,116,"Constrained optimization, Optimization, Lagrange multipliers, Feasible set, Maximum",1. Constrained optimization (1.000); 2. Optimization (0.925); 3. Lagrange multipliers (0.841); 4. Feasible set (0.788); 5. Maximum (0.695),"Constrained optimization, Lagrange multipliers, Maximum, Optimization, Critical point, Feasible set, Maximizer, Optimal solution, Stationary point, Tangent line","Constrained optimization, Optimization, Lagrange multipliers, Feasible set, Maximum",0.9948,0.9333
bert,scene_only,kv8pMEALdWo,Introduction to Kuhn-Tucker Conditions,Optimization,Constrained Optimization,title_only,full_pool,116,"KKT conditions, Constrained optimization, Optimization, Optimal solution, Lagrange multipliers",1. KKT conditions (0.983); 2. Constrained optimization (0.832); 3. Optimization (0.787); 4. Optimal solution (0.752); 5. Lagrange multipliers (0.732),"Constrained optimization, KKT conditions, Optimal solution, Optimization, Feasible set, Global optimum, Lagrange multipliers, Maximizer, Maximum, Minimizer, Minimum","Constrained optimization, Optimization, KKT conditions, Optimal solution, Lagrange multipliers",1.0,0.9333
bert,scene_only,QqAPCIIdx-E,Derivative using Chain and Product Rules,Differentiation,Derivative Rules,title_only,full_pool,116,"Chain rule, Product rule, Power rule, Trigonometric rules, Trigonometric functions",1. Chain rule (1.000); 2. Product rule (0.922); 3. Power rule (0.791); 4. Trigonometric rules (0.746); 5. Trigonometric functions (0.647),"Chain rule, Derivative definition, Power rule, Product rule, Differentiability, Instantaneous rate of change, Leibniz notation, Slope, Sum/Difference rule","Chain rule, Product rule, Power rule, Trigonometric rules, Trigonometric functions",0.7558,0.6
bert,scene_only,QhB481jPAa4,Differentiation of y = cos(ax),Differentiation,Derivative Rules,title_only,full_pool,116,"Trigonometric rules, Chain rule, Trigonometric functions, Product rule, Power rule",1. Trigonometric rules (0.956); 2. Chain rule (0.952); 3. Trigonometric functions (0.909); 4. Product rule (0.867); 5. Power rule (0.782),"Chain rule, Product rule, Trigonometric functions, Trigonometric rules, Constant rule, Leibniz notation, Power rule","Chain rule, Trigonometric rules, Product rule, Trigonometric functions, Power rule",1.0,0.9333
bert,scene_only,JTDa2uZS2gI,Calculating Partial Derivatives,Differentiation,Partial Derivatives,title_only,full_pool,116,"Chain rule, Derivative definition, Constant rule, Trigonometric rules, Power rule",1. Chain rule (1.000); 2. Derivative definition (0.898); 3. Constant rule (0.814); 4. Trigonometric rules (0.766); 5. Power rule (0.744),"Constant rule, Derivative definition, Power rule, Product rule, Quotient rule, Sum/Difference rule, Chain rule, Differentiability, Higher-order derivatives, Instantaneous rate of change, Leibniz notation, Slope","Chain rule, Constant rule, Derivative definition, Trigonometric rules, Power rule",0.7409,0.7333
bert,scene_only,TDHI-aieyfk,Derivatives of Common Functions,Differentiation,Derivatives,title_only,full_pool,116,"Trigonometric rules, Exponential rule, Tangent line, Logarithmic rule, Slope",1. Trigonometric rules (0.792); 2. Exponential rule (0.784); 3. Tangent line (0.760); 4. Logarithmic rule (0.726); 5. Slope (0.722),"Exponential rule, Logarithmic rule, Trigonometric functions, Trigonometric rules, Differentiability, Instantaneous rate of change, Leibniz notation, Slope, Tangent line","Trigonometric rules, Exponential rule, Logarithmic rule, Tangent line, Slope",0.9409,0.8667
bert,scene_only,uKfcS7-O6UE,Quotient Rule for Differentiation,Differentiation,Derivatives,title_only,full_pool,116,"Quotient rule, Constant rule, Power rule, Sum/Difference rule, Leibniz notation",1. Quotient rule (1.000); 2. Constant rule (0.834); 3. Power rule (0.803); 4. Sum/Difference rule (0.788); 5. Leibniz notation (0.717),"Derivative definition, Differentiability, Quotient rule, Chain rule, Instantaneous rate of change, Power rule, Product rule, Slope, Sum/Difference rule","Quotient rule, Constant rule, Power rule, Sum/Difference rule, Leibniz notation",0.6538,0.5333
bert,summary_late_fusion,KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,title+summary_late_fusion,full_pool,116,"Powers of i, Powers of complex numbers, Imaginary part, Operations with complex numbers, Nth root",1. Powers of i (0.996); 2. Powers of complex numbers (0.991); 3. Imaginary part (0.907); 4. Operations with complex numbers (0.873); 5. Nth root (0.718),"Powers of i, Roots of unity, Complex plane, Complex plane rotation, Imaginary part, Modulus of a complex number, Operations with complex numbers, Powers of complex numbers, Real part, Rectangular form (Standard form)","Powers of i, Powers of complex numbers, Imaginary part, Operations with complex numbers, Nth root",0.8134,0.6
bert,summary_late_fusion,BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,title+summary_late_fusion,full_pool,116,"Operations with complex numbers, Imaginary part, Conjugate number, Real part, Argand diagram",1. Operations with complex numbers (0.995); 2. Imaginary part (0.989); 3. Conjugate number (0.983); 4. Real part (0.748); 5. Argand diagram (0.655),"Conjugate number, Imaginary part, Operations with complex numbers, Real part, Rectangular form (Standard form), Algebraic form, Argand diagram, Complex plane, Equations involving complex numbers","Operations with complex numbers, Imaginary part, Conjugate number, Real part, Argand diagram",0.9563,0.9333
bert,summary_late_fusion,kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,title+summary_late_fusion,full_pool,116,"Operations with complex numbers, Complex plane, Imaginary part, Powers of i, Real part",1. Operations with complex numbers (0.991); 2. Complex plane (0.976); 3. Imaginary part (0.954); 4. Powers of i (0.814); 5. Real part (0.631),"Algebraic form, Argand diagram, Complex plane, Imaginary part, Real part, Rectangular form (Standard form), Conjugate number, Modulus of a complex number, Nth root, Powers of i","Imaginary part, Operations with complex numbers, Complex plane, Powers of i, Real part",0.7252,0.8
bert,summary_late_fusion,KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,title+summary_late_fusion,full_pool,116,"Regions in the complex plane, Complex plane, Imaginary part, Rectangular form (Standard form), Real part",1. Regions in the complex plane (1.000); 2. Complex plane (0.901); 3. Imaginary part (0.798); 4. Rectangular form (Standard form) (0.629); 5. Real part (0.612),"Argand diagram, Complex plane, Imaginary part, Real part, Regions in the complex plane, Algebraic form, Equations involving complex numbers, Modulus of a complex number, Rectangular form (Standard form)","Regions in the complex plane, Complex plane, Imaginary part, Real part, Rectangular form (Standard form)",0.9513,0.9333
bert,summary_late_fusion,AqtgBbEI4wM,Sketching the Locus of Complex Numbers,Complex Numbers,Complex Plane and Loci,title+summary_late_fusion,full_pool,116,"Equations involving complex numbers, Modulus of a complex number, Regions in the complex plane, Argand diagram, Algebraic form",1. Equations involving complex numbers (0.954); 2. Modulus of a complex number (0.913); 3. Regions in the complex plane (0.902); 4. Argand diagram (0.800); 5. Algebraic form (0.755),"Argand diagram, Complex plane, Equations involving complex numbers, Modulus of a complex number, Regions in the complex plane, Algebraic form, Imaginary part, Operations with complex numbers, Real part, Rectangular form (Standard form)","Equations involving complex numbers, Regions in the complex plane, Modulus of a complex number, Argand diagram, Algebraic form",0.9563,0.9333
bert,summary_late_fusion,G8GAsYkZlpE,Second Derivative Test for Relative Extrema,Differentiation,Extrema and Concavity,title+summary_late_fusion,full_pool,116,"Second derivative test, Local maximum, Local minimum, Critical point, Concavity",1. Second derivative test (1.000); 2. Local maximum (0.850); 3. Local minimum (0.833); 4. Critical point (0.813); 5. Concavity (0.695),"Critical point, Local maximum, Local minimum, Second derivative test, Concavity, First derivative test, Higher-order derivatives, Optimization, Stationary point, Unconstrained optimization","Second derivative test, Local maximum, Local minimum, Critical point, Concavity",1.0,0.9333
bert,summary_late_fusion,8mjcnxGMwFo,Lagrange Multipliers,Optimization,Constrained Optimization,title+summary_late_fusion,full_pool,116,"Lagrange multipliers, Constrained optimization, Optimization, Minimum, Maximum",1. Lagrange multipliers (1.000); 2. Constrained optimization (0.879); 3. Optimization (0.808); 4. Minimum (0.706); 5. Maximum (0.663),"Constrained optimization, Lagrange multipliers, Optimization, Critical point, Feasible set, Maximum, Minimum, Optimal solution, Stationary point","Lagrange multipliers, Constrained optimization, Optimization, Minimum, Maximum",1.0,0.8667
bert,summary_late_fusion,LVLuqNH5iWw,Local Extrema of a Multivariable Function,Differentiation,Extrema and Concavity,title+summary_late_fusion,full_pool,116,"Local maximum, Local minimum, Critical point, Second derivative test, Saddle point",1. Local maximum (0.964); 2. Local minimum (0.939); 3. Critical point (0.819); 4. Second derivative test (0.803); 5. Saddle point (0.755),"Critical point, Hessian matrix, Local maximum, Local minimum, Saddle point, Second derivative test, Unconstrained optimization, Maximum, Minimum, Optimization, Stationary point","Local maximum, Local minimum, Second derivative test, Critical point, Saddle point",1.0,1.0
bert,summary_late_fusion,vwUV2IDLP8Q,Constrained Optimization,Optimization,Constrained Optimization,title+summary_late_fusion,full_pool,116,"Constrained optimization, Optimization, Lagrange multipliers, Feasible set, Maximum",1. Constrained optimization (1.000); 2. Optimization (0.920); 3. Lagrange multipliers (0.852); 4. Feasible set (0.781); 5. Maximum (0.688),"Constrained optimization, Lagrange multipliers, Maximum, Optimization, Critical point, Feasible set, Maximizer, Optimal solution, Stationary point, Tangent line","Constrained optimization, Optimization, Lagrange multipliers, Feasible set, Maximum",0.9948,0.9333
bert,summary_late_fusion,kv8pMEALdWo,Introduction to Kuhn-Tucker Conditions,Optimization,Constrained Optimization,title+summary_late_fusion,full_pool,116,"KKT conditions, Constrained optimization, Optimization, Optimal solution, Lagrange multipliers",1. KKT conditions (0.983); 2. Constrained optimization (0.896); 3. Optimization (0.840); 4. Optimal solution (0.787); 5. Lagrange multipliers (0.772),"Constrained optimization, KKT conditions, Optimal solution, Optimization, Feasible set, Global optimum, Lagrange multipliers, Maximizer, Maximum, Minimizer, Minimum","Constrained optimization, Optimization, KKT conditions, Optimal solution, Lagrange multipliers",1.0,0.9333
bert,summary_late_fusion,QqAPCIIdx-E,Derivative using Chain and Product Rules,Differentiation,Derivative Rules,title+summary_late_fusion,full_pool,116,"Chain rule, Product rule, Power rule, Trigonometric rules, Trigonometric functions",1. Chain rule (1.000); 2. Product rule (0.937); 3. Power rule (0.841); 4. Trigonometric rules (0.762); 5. Trigonometric functions (0.680),"Chain rule, Derivative definition, Power rule, Product rule, Differentiability, Instantaneous rate of change, Leibniz notation, Slope, Sum/Difference rule","Chain rule, Product rule, Power rule, Trigonometric rules, Trigonometric functions",0.7558,0.6
bert,summary_late_fusion,QhB481jPAa4,Differentiation of y = cos(ax),Differentiation,Derivative Rules,title+summary_late_fusion,full_pool,116,"Chain rule, Trigonometric rules, Trigonometric functions, Product rule, Power rule",1. Chain rule (0.985); 2. Trigonometric rules (0.984); 3. Trigonometric functions (0.925); 4. Product rule (0.910); 5. Power rule (0.812),"Chain rule, Product rule, Trigonometric functions, Trigonometric rules, Constant rule, Leibniz notation, Power rule","Chain rule, Trigonometric rules, Product rule, Trigonometric functions, Power rule",1.0,0.9333
bert,summary_late_fusion,JTDa2uZS2gI,Calculating Partial Derivatives,Differentiation,Partial Derivatives,title+summary_late_fusion,full_pool,116,"Chain rule, Derivative definition, Constant rule, Trigonometric rules, Power rule",1. Chain rule (1.000); 2. Derivative definition (0.921); 3. Constant rule (0.863); 4. Trigonometric rules (0.787); 5. Power rule (0.767),"Constant rule, Derivative definition, Power rule, Product rule, Quotient rule, Sum/Difference rule, Chain rule, Differentiability, Higher-order derivatives, Instantaneous rate of change, Leibniz notation, Slope","Chain rule, Constant rule, Derivative definition, Trigonometric rules, Power rule",0.7409,0.7333
bert,summary_late_fusion,TDHI-aieyfk,Derivatives of Common Functions,Differentiation,Derivatives,title+summary_late_fusion,full_pool,116,"Trigonometric rules, Exponential rule, Logarithmic rule, Tangent line, Slope",1. Trigonometric rules (0.857); 2. Exponential rule (0.840); 3. Logarithmic rule (0.786); 4. Tangent line (0.781); 5. Slope (0.738),"Exponential rule, Logarithmic rule, Trigonometric functions, Trigonometric rules, Differentiability, Instantaneous rate of change, Leibniz notation, Slope, Tangent line","Trigonometric rules, Exponential rule, Logarithmic rule, Tangent line, Slope",0.9491,0.8667
bert,summary_late_fusion,uKfcS7-O6UE,Quotient Rule for Differentiation,Differentiation,Derivatives,title+summary_late_fusion,full_pool,116,"Quotient rule, Constant rule, Power rule, Sum/Difference rule, Leibniz notation",1. Quotient rule (1.000); 2. Constant rule (0.837); 3. Power rule (0.811); 4. Sum/Difference rule (0.797); 5. Leibniz notation (0.721),"Derivative definition, Differentiability, Quotient rule, Chain rule, Instantaneous rate of change, Power rule, Product rule, Slope, Sum/Difference rule","Quotient rule, Constant rule, Power rule, Sum/Difference rule, Leibniz notation",0.6538,0.5333
bert,summary_shortlist,KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,title+summary_in_summary_shortlist,summary_shortlist:29,29,"Powers of i, Powers of complex numbers, Imaginary part, Operations with complex numbers, Nth root",1. Powers of i (1.000); 2. Powers of complex numbers (0.986); 3. Imaginary part (0.893); 4. Operations with complex numbers (0.875); 5. Nth root (0.713),"Powers of i, Roots of unity, Complex plane, Complex plane rotation, Imaginary part, Modulus of a complex number, Operations with complex numbers, Powers of complex numbers, Real part, Rectangular form (Standard form)","Powers of i, Powers of complex numbers, Imaginary part, Operations with complex numbers, Nth root",0.8134,0.6
bert,summary_shortlist,BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,title+summary_in_summary_shortlist,summary_shortlist:30,30,"Operations with complex numbers, Imaginary part, Conjugate number, Real part, Argand diagram",1. Operations with complex numbers (1.000); 2. Imaginary part (0.952); 3. Conjugate number (0.890); 4. Real part (0.628); 5. Argand diagram (0.569),"Conjugate number, Imaginary part, Operations with complex numbers, Real part, Rectangular form (Standard form), Algebraic form, Argand diagram, Complex plane, Equations involving complex numbers","Operations with complex numbers, Imaginary part, Conjugate number, Real part, Argand diagram",0.9563,0.9333
bert,summary_shortlist,kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,title+summary_in_summary_shortlist,summary_shortlist:29,29,"Imaginary part, Operations with complex numbers, Complex plane, Powers of i, Real part",1. Imaginary part (1.000); 2. Operations with complex numbers (0.942); 3. Complex plane (0.931); 4. Powers of i (0.778); 5. Real part (0.563),"Algebraic form, Argand diagram, Complex plane, Imaginary part, Real part, Rectangular form (Standard form), Conjugate number, Modulus of a complex number, Nth root, Powers of i","Imaginary part, Operations with complex numbers, Complex plane, Powers of i, Real part",0.8087,0.8
